N,map
1.000000000000000000e+01,3.378999999999999782e-01
2.000000000000000000e+01,3.393999999999999795e-01
3.000000000000000000e+01,3.391000000000000125e-01
4.000000000000000000e+01,3.390000000000000235e-01
5.000000000000000000e+01,3.386000000000000121e-01
6.000000000000000000e+01,3.410000000000000253e-01
7.000000000000000000e+01,3.410000000000000253e-01
8.000000000000000000e+01,3.403999999999999804e-01
9.000000000000000000e+01,3.407999999999999918e-01
1.000000000000000000e+02,3.371999999999999997e-01
